BB1,BB2,BB3,BB4
B1dna,B1,B1,C1
B2dna,B2,B2,C2
B8dna,B8,B8,C3
B11dna,B11,B11,C4
B30dna,B30,B30,C5
B36dna,B36,B36,C6
B41dna,B41,B41,C7
B70dna,B70,B70,C8
B145dna,B145,B145,C9
B164dna,B164,B164,C10
,,,C11
,,,C12
,,,C13
,,,C14
,,,C15
,,,C16
,,,C17
,,,C18
,,,C19
,,,C20
,,,C21
,,,C22
,,,C23
,,,C24
,,,C25
,,,C26
,,,C27
,,,C28
,,,C29
,,,C30
,,,C31
,,,C32
,,,C33
,,,C34
,,,C35
,,,C36
,,,C37
,,,C38
,,,C39
,,,C40
,,,C41
,,,C42
,,,C43
,,,C44
,,,C45
,,,C46
,,,C47
,,,C48
,,,C49
,,,C50
,,,C51
,,,C52
,,,C53
,,,C54
,,,C55
,,,C56
,,,C57
,,,C58
,,,C59
,,,C60
,,,C61
,,,C62
,,,C63
,,,C64
,,,C65
,,,C66
,,,C67
,,,C68
,,,C69
,,,C70
,,,C71
,,,C72
,,,C73
,,,C74
,,,C75
,,,C76
,,,C77
,,,C78
,,,C79
,,,C80
,,,C81
,,,C82
,,,C83
,,,C84
,,,C85
,,,C86
,,,C87
,,,C88
,,,C89
,,,C90
,,,C91
,,,C92
,,,C93
,,,C94
,,,C95
,,,C96
,,,C97
,,,C98
,,,C99
,,,C100
